addr,name,symbol
0x48f775efbe4f5ece6e0df2f7b5932df56823b990,Revain,R
0x4156d3342d5c385a87d264f90653733592000581,SALT,SALT
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,Santiment,SAN
0x8eb24319393716668d768dcec29356ae9cffe285,SingularityNET,AGI
0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,Spectre.ai Dividend,SXDT
0xdb25f211ab05b1c97d595516f45794528a807ad8,STASIS EURS Token,EURS
0x744d70fdbe2ba4cf95131626614a1763df805b9e,Status Network Token,SNT
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,Storj,STORJ
0xb97048628db6b661d4c2aa833e95dbe1a905b280,TenX,PAY
0x3883f5e181fccaf8410fa61e12b59bad963fb645,Theta Token,THETA
0xaaaf91d9b90df800df4f55c205fd6989c977e73a,TokenCard,TKN
0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7,TokenClub,TCT
0x0000000000085d4780b73119b644ae5ecd22b376,TrueUSD,TUSD
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC
0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,Veritaseum,VERI
0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,Waltonchain,WTC
0x39bb259f66e1c59d5abef88375979b4d20d98022,WAX Token,WAX
0x4cf488387f035ff08c371515562cba712f9015d4,WePower Token,WPR
0x55296f69f40ea6d20e478533c15a6b08b654e758,XYO,XYO
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,Zilliqa,ZIL
0xbd0793332e9fb844a52a205a233ef27a5b34b927, ZB Zoken, ZB
